taxon_name_from	taxon_name_to	Match_type	taxon_id (if not in DynTaxa)	Note
Chlorococcales	Chlamydomonadales	Exact		
Chlorophyta FF	Chlorophyta	felstav		
Choanoflagellidea	Choanoflagellatea	Exact		
Chorda filum/Halosiphon tomentosus	Phaeophyceae 	antag felstav		
Chrionomidae	Chironomidae	felstav		
Chroococcus limneticus	Limnococcus limneticus	Exact		
Chroococcus microscopicus	Eucapsis microscopica	Exact		
Chrysochromulina ericina	Haptolina ericina	Exact		
Chrysochromulina hirta	Haptolina hirta	Exact		
Chrysochromulina polylepis	Prymnesium polylepis	Exact		
Chrysoflagellat	Chrysophyceae	antag felstav		
Cingula semistriata	Crisilla semistriata	Exact		
Cirratulus filiformis	Aphelochaeta filiformis			
Cirrophorus eliasoni	Paradoneis eliasoni	Exact		
Cladophora aegagropila	Aegagropila linnaei	Exact		
Cladophora/Enteromorpha	Ulvophyceae			
Clathrus turtonis	Epitonium turtonis	Exact		
Clavelina lepadiformes	Clavelina lepadiformis	Exact		
Closterium acutum var.acutum	Closterium acutum var. Acutum	antag felstav		
Clymenella cincta	Maldane cincta	Exact		
cnidaria	Cnidaria	felstav		
Cnidaria/Bryozoa	Animalia	Special		
COLEOPTERA	Coleoptera	felstav		
COPEPODA	Copepoda	felstav		
Corophidae	Corophiidae	Exact		
Corophium affine	Medicorophium affine	Exact		
Corophium bonelli	Crassicorophium bonnellii	Exact		
Corophium bonnellii	Crassicorophium bonnellii	Exact		
Corophium insidiosum	Monocorophium insidiosum	Exact		
Corophium lacustre	Apocorophium lacustre	Exact		
CorycaeuS	Corycaeus	felstav		
Corycaeus anglicus	Ditrichocorycaeus anglicus	Exact		
Coryphella lineata	Fjordia lineata	Exact		
Coscinodiscus commutatus	Coscinodiscopsis commutata	Exact		
Crangon allmani	Crangon allmanni	Exact		
Crania anomala	Novocrania anomala	exact		
Craspedophyceae	Choanoflagellatea	Exact		
Crassostrea gigas	Magallana gigas	Exact		
Crucigeniella	Crucigenia	OK	1010745	
Crucigeniella apiculata	Willea apiculata	Exact		
Crucigeniella rectangularis	Willea rectangularis	Exact		
Ctenolabrus rupestri	Ctenolabrus rupestris	felstav		
Ctenophora			5000006	
Cucumaria elongata	Leptopentacta elongata	Exact		
Cultellus pellucidus	Phaxas pellucidus	Exact		
Cuspidaria abbreviata	Tropidomya abbreviata	exact		
Cyanodictyon imperfectum	Cyanocatena imperfecta	exact		
Cyanophtalma obscura	Cyanophthalma obscura	antag felstav		
Cyanophycae	Cyanophyceae	antag felstav		
Cyanophyta	Cyanobacteria	Exact		
Cyanophyta sp	Cyanophyta 	antag felstav		
Cyclidium claucoma	Cyclidium glaucoma	felstav		lägga till släkte i whitelist
Cyclotella,	Cyclotella			
Cymatopleura solea	Cymatopleura solea var. solea	OK	237914	
Cymbella lanceolata	Cymbella neolanceolata	Exact		
Cypridina megalops	Skogsbergia megalops	exact		
CYRNUS SP.	Cyrnus	felstav		
Decipula tenella	Tellimya tenella	antag felstav		
Delesseria sanguinea/Apoglossum ruscifolium/Phycodrus rubens	Delesseriaceae			
Demicryptochironomus	Demicryptochironomus (Demicryptochironomus)	OK	235310	
Desmodesmus quadricauda	Scenedesmus quadricauda	Exact		
Desmosoma filipes	Eugerda filipes	exact		
Diaphana hyalina	Diaphana minuta	Exact		
Diastylis biplicata	Diastyloides biplicatus	Exact		
Diastylis luficera	Diastylis lucifera	antag felstav		
