TaxonId	Svenskt namn	Vetenskapligt namn	Organismgrupp	Kategori	Observationer	Landskapstyp	Rödlistekategori	Rödlistekriterium
972	rosentrattskivling	Pseudoclitopilus rhodoleucus	svamp	Art	124	Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse	NT	C2a(i)
217190	kornrullmossa	Pseudocrossidium obtusulum	mossa	Art	60	Jordbrukslandskap (J) - Stor betydelse	NT	D1
1310	trubbig rullmossa	Pseudocrossidium revolutum	mossa	Art	31	Jordbrukslandskap (J) - Stor betydelse	EN	D
233597		Pseudocuma longicorne	kräftdjur	Art	12	Marin miljö (M) - Stor betydelse	DD	
233598		Pseudocuma similis	kräftdjur	Art	4	Marin miljö (M) - Stor betydelse	VU	D2
719	vitnoppa	Pseudognaphalium luteoalbum	kärlväxt	Art	467	Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse	EN	D
1312	gammelgransskål	Pseudographis pinicola	svamp	Art	19988	Skog (S) - Stor betydelse, Våtmark (V) - Har betydelse	NT	A2c+3c+4c
882	tårticka	Pseudoinonotus dryadeus	svamp	Art	713	Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse	VU	C2a(i)
958	skorpskinnlav	Pseudoleptogium diffractum	svamp, lav	Art	63	Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse	VU	D1
1313	raspdvärgbågmossa	Pseudoleskeella papillosa	mossa	Art	35	Skog (S) - Stor betydelse, Sötvatten (L) - Har betydelse	NT	D1
241752		Pseudoneuroctena senilis	tvåvinge, insekt	Art	13	Skog (S) - Stor betydelse	NT	B2ab(iii)
101651	lindgrengnagare	Pseudoptilinus fissicollis	skalbaggar, insekt	Art	43	Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse	EN	B2ab(iii)
975	vityxne	Pseudorchis albida	kärlväxt	Art	0	Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse	EN	C2a(i)
