node.internal_key	SHARKarchive	LIMS	PhysicalChemical
variable.COPY_VARIABLE.Turbidity TURB.FNU	TURB	TURB	TURB
TEMP.QFLAG.Turbidity TURB	Q_TURB	Q_TURB	Q_TURB
sample.sample_comment	COMNT_SAMP<or>COMNT_SP	COMNT_SAMP	COMNT_SAMP
variable.analysis_method_code	METOA	METOA	METOA
			
variable.analysis_method_reference_code	REFSK_ANA	REFSK_ANA	REFSK_ANA
variable.variable_comment	MET_COMNT	MET_COMNT	MET_COMNT
variable.estimation_uncertainty	UNCERT	UNCERT	UNCERT
variable.method_calculation_uncertainty	METCU	METCU	METCU
variable.quantification_limit	LMQNT	LMQNT	LMQNT
variable.detection_limit	DETLI	DETLI	DETLI
variable.analysis_range	RANA	RANA	RANA
variable.analytical_laboratory_code	ALABO	ALABO	ALABO
variable.analytical_laboratory_accreditated	ACKR_ANA	ACKR_ANA	ACKR_ANA
			
variable.sampler_type_code_phyche	SMTYP	SMTYP	SMTYP
variable.sampling_method_reference_code_phyche	REFSK_SMP	REFSK_SMP	REFSK_SMP
variable.sampling_method_comment_phyche	COMNT_SMPM<or>COMT_SMPM	COMNT_SMPM<or>COMT_SMPM	COMNT_SMPM<or>COMT_SMPM
variable.sampling_laboratory_code_phyche	SLABO	SLABO	SLABO
variable.sampling_laboratory_accreditated_phyche	ACKR_SMP	ACKR_SMP	ACKR_SMP
			
sample.monitoring_program_code	MPROG	MPROG	MPROG
